Date,Total Return Index,Beta Raw,Volatility 30D
1997-11-28,106.2748,,
1997-12-31,105.7832,0.3,
1998-01-30,105.2761,0.26,
1998-02-27,106.5075,0.22,
1998-03-31,109.3511,0.19,
1998-04-30,110.4114,0.18,
1998-05-29,110.729,0.15,
1998-06-30,112.778,0.12,
1998-07-31,112.5059,0.14,
1998-08-31,114.7646,-0.02,
1998-09-30,116.8525,-0.01,
1998-10-30,116.6472,-0.03,
1998-11-30,117.2472,-0.03,
1998-12-31,120.8346,-0.04,
1999-01-29,121.2978,-0.04,17.99
1999-02-26,118.6395,-0.02,21.53
1999-03-31,120.1719,-0.02,20.95
1999-04-30,120.0055,-0.03,20.62
1999-05-28,121.9117,-0.04,20.29
1999-06-30,120.724,-0.04,20.72
1999-07-30,122.3521,-0.04,20.33
1999-08-31,119.3534,-0.04,22.67
1999-09-30,121.3817,-0.05,22.47
1999-10-29,122.6427,-0.05,22.02
1999-11-30,122.3961,-0.05,21.72
1999-12-31,123.7616,-0.05,21.34
2000-01-31,122.3281,-0.04,21.65
2000-02-29,122.0019,-0.03,21.39
2000-03-31,124.6394,-0.02,21.55
2000-04-28,124.358,-0.01,21.67
2000-05-31,121.331,0.0,23.3
2000-06-30,125.0795,-0.01,24.33
2000-07-31,124.0244,-0.01,24.64
2000-08-31,122.3544,0.02,24.36
2000-09-29,123.4672,0.01,24.35
2000-10-31,123.4046,0.01,24.38
2000-11-30,124.2704,0.0,23.98
2000-12-29,128.5493,0.02,25.58
2001-01-31,128.9015,0.02,25.14
2001-02-28,128.8181,0.01,24.79
2001-03-30,126.8403,0.03,25.39
2001-04-30,126.2688,0.03,25.47
2001-05-31,126.8474,0.05,24.01
2001-06-29,127.1781,0.05,24.0
2001-07-31,129.6635,0.06,23.39
2001-08-31,131.8214,0.05,23.56
2001-09-28,131.4442,0.06,23.59
2001-10-31,134.5667,0.07,24.08
2001-11-30,131.5254,0.03,25.05
2001-12-31,131.0111,0.02,24.91
2002-01-31,129.8048,0.01,23.74
2002-02-28,131.2107,0.01,23.48
2002-03-29,131.5511,,23.36
2002-04-30,135.4008,-0.03,24.61
2002-05-31,138.3444,-0.03,25.1
2002-06-28,143.7161,-0.07,26.62
2002-07-31,144.7843,-0.06,26.51
2002-08-30,148.9557,-0.04,26.97
2002-09-30,152.8044,-0.06,27.44
