Date,Total Return Index
2012-08-22,100.0
2012-08-23,100.0
2012-08-24,100.0
2012-08-28,100.0
2012-08-29,100.0
2012-08-30,100.0
2012-08-31,100.0
2012-09-04,100.0
2012-09-05,100.0
2012-09-06,100.0
2012-09-07,100.0
2012-09-10,100.0
2012-09-11,100.0
2012-09-12,100.0
2012-09-13,100.0
2012-09-14,100.0
2012-09-17,100.0
2012-09-18,100.0
2012-09-20,100.0
2012-09-21,100.0
2012-09-24,100.0
2012-09-25,100.0
2012-09-26,100.0
2012-09-27,100.0
2012-09-28,100.0
2012-10-01,100.0
2012-10-02,100.0
2012-10-03,100.0
2012-10-04,100.0
2012-10-05,100.0
2012-10-08,100.0
2012-10-09,100.0
2012-10-10,100.0
2012-10-11,100.0
2012-10-12,100.0
2012-10-15,100.0
2012-10-16,100.0
2012-10-17,100.0
2012-10-18,100.0
2012-10-19,100.0
2012-10-22,100.0
2012-10-23,100.0
2012-10-24,100.0
2012-10-25,100.0
2012-10-26,100.0
2012-10-29,100.0
2012-10-30,100.0
2012-10-31,100.0
2012-11-01,100.0
2012-11-02,100.0
2012-11-05,100.0
2012-11-06,100.0
2012-11-07,100.0
2012-11-08,100.0
2012-11-09,100.0
2012-11-12,100.0
2012-11-13,100.0
2012-11-14,100.0
2012-11-15,100.0
2012-11-16,100.0
2012-11-19,100.0
2012-11-20,100.0
2012-11-21,100.0
2012-11-23,100.0
2012-11-26,100.0
2012-11-27,100.0
2012-11-28,100.0
2012-11-29,100.0
2012-11-30,100.0
2012-12-03,94.75728155339806
2012-12-04,94.75728155339806
2012-12-05,95.53398058252428
2012-12-06,95.33980582524272
2012-12-07,94.75728155339806
2012-12-10,94.36893203883496
2012-12-11,93.39805825242719
2012-12-12,93.20388349514563
2012-12-13,91.65048543689322
2012-12-14,93.20388349514563
2012-12-17,90.87378640776699
2012-12-18,91.2621359223301
2012-12-19,89.126213592233
2012-12-20,86.40776699029125
2012-12-21,87.76699029126213
2012-12-26,88.15533980582524
2012-12-27,89.32038834951457
2012-12-28,92.81553398058252
2013-01-02,90.48543689320388
2013-01-03,86.40776699029125
2013-01-04,87.96116504854369
2013-01-07,87.18446601941747
2013-01-08,89.70873786407768
2013-01-09,90.09708737864077
2013-01-10,89.32038834951457
2013-01-11,90.87378640776699
2013-01-14,91.2621359223301
2013-01-15,89.70873786407768
2013-01-16,91.45631067961165
2013-01-17,89.70873786407768
2013-01-18,90.87378640776699
2013-01-22,91.65048543689322
2013-01-23,92.81553398058252
2013-01-24,92.81553398058252
2013-01-25,90.29126213592234
2013-01-28,90.09708737864077
2013-01-29,87.96116504854369
2013-01-30,89.51456310679612
2013-01-31,87.96116504854369
2013-02-01,87.76699029126213
2013-02-04,89.51456310679612
2013-02-05,90.09708737864077
2013-02-06,91.2621359223301
2013-02-07,92.81553398058252
2013-02-08,92.03883495145631
