Date,Total Return Index,Beta Raw,Volatility 30D
2002-10-31,101.3791,,
2002-11-29,100.5902,0.01,
2002-12-31,102.9284,-0.2,
2003-01-31,103.3879,-0.17,
2003-02-28,106.0045,-0.2,
2003-03-31,105.8986,-0.2,
2003-04-30,105.8257,-0.19,
2003-05-30,107.8328,-0.17,
2003-06-30,107.9286,-0.17,
2003-07-31,105.6214,-0.18,
2003-08-29,106.7921,-0.18,
2003-09-30,109.0075,-0.19,
2003-10-31,108.7399,-0.19,
2003-11-28,108.4381,-0.18,
2003-12-31,108.9009,-0.17,21.2
2004-01-30,109.4811,-0.17,20.49
2004-02-27,111.1399,-0.17,20.28
2004-03-31,112.3268,-0.17,19.79
2004-04-30,110.0795,-0.14,21.42
2004-05-31,111.0863,,20.93
2004-06-30,111.0293,-0.14,20.46
2004-07-30,112.1791,-0.14,20.09
2004-08-31,113.2735,-0.14,19.71
2004-09-30,113.187,-0.13,19.36
2004-10-29,114.1773,-0.14,19.0
2004-11-30,113.9281,-0.09,18.74
2004-12-31,114.3023,-0.09,18.38
2005-01-31,113.4445,-0.06,18.38
2005-02-28,113.4164,-0.02,18.09
2005-03-31,113.5346,-0.02,17.76
2005-04-29,114.6616,-0.02,17.47
2005-05-31,114.9377,-0.06,16.51
2005-06-30,115.1469,-0.06,16.52
2005-07-29,113.9704,-0.05,15.65
2005-08-31,115.783,-0.05,16.1
2005-09-30,116.3649,-0.05,16.07
2005-10-31,115.7941,-0.03,15.5
2005-11-30,115.7857,-0.06,15.51
2005-12-30,116.1598,-0.06,13.6
2006-01-31,116.2867,-0.07,13.4
2006-02-28,116.0983,-0.06,12.3
2006-03-31,116.0168,-0.06,12.25
2006-04-28,116.8486,-0.08,12.23
2006-05-31,117.3311,-0.08,12.23
2006-06-30,117.7411,-0.08,12.2
2006-07-31,118.7278,-0.07,11.72
2006-08-31,119.3128,-0.06,11.46
2006-09-29,119.4448,-0.07,9.16
2006-10-31,119.2189,-0.06,9.05
2006-11-30,119.9632,-0.06,9.07
2006-12-29,119.2197,-0.07,9.13
2007-01-31,119.4369,-0.12,8.82
2007-02-28,120.982,-0.15,9.37
2007-03-30,122.0246,-0.17,9.37
2007-04-30,122.8511,-0.11,9.35
2007-05-31,122.3094,-0.12,9.58
2007-06-29,122.808,-0.12,9.09
2007-07-31,124.0154,-0.08,9.28
2007-08-31,124.9688,-0.08,9.35
2007-09-28,126.2143,-0.06,9.36
2007-10-31,127.2685,-0.08,9.47
2007-11-30,130.501,-0.15,11.44
2007-12-31,130.907,-0.15,10.52
2008-01-31,133.6766,-0.17,11.12
2008-02-29,136.1799,-0.18,11.84
2008-03-31,136.1581,-0.18,11.54
2008-04-30,134.9494,-0.21,12.22
2008-05-30,135.6902,-0.21,12.21
2008-06-30,137.7162,-0.16,12.45
2008-07-31,136.9409,-0.16,12.73
2008-08-29,137.7698,-0.16,12.57
2008-09-30,135.3524,-0.09,14.42
2008-10-31,127.9292,0.1,23.39
2008-11-28,126.6879,0.1,23.69
2008-12-31,128.2534,0.12,23.81
2009-01-30,131.6823,0.07,24.85
2009-02-27,131.0525,0.08,24.96
2009-03-31,134.5506,0.1,25.84
2009-04-30,134.4724,0.08,25.87
2009-05-29,136.4637,0.1,25.87
2009-06-30,136.4325,0.1,25.89
2009-07-31,136.7459,0.08,25.77
2009-08-31,137.7813,0.08,25.76
2009-09-30,139.2905,0.08,25.83
2009-10-30,140.9474,0.08,25.77
2009-11-30,142.7683,0.09,25.88
2009-12-31,141.9131,0.09,26.05
2010-01-29,143.2116,0.1,26.07
2010-02-26,142.9845,0.1,26.09
2010-03-31,143.0655,0.1,26.08
2010-04-30,143.9638,0.1,25.26
2010-05-31,143.2265,,25.39
2010-06-03,143.3362,0.13,24.79
2010-06-04,143.5055,0.1,24.28
2010-06-07,143.5085,0.1,24.28
2010-06-08,143.5022,0.1,24.06
2010-06-09,143.4289,0.1,24.05
2010-06-10,143.2433,0.08,23.73
2010-06-11,143.4214,0.08,23.63
2010-06-14,143.4711,0.08,23.59
2010-06-15,143.4495,0.07,22.84
2010-06-16,143.5085,0.07,13.96
2010-06-17,143.8536,0.07,13.31
2010-06-18,143.7637,0.07,13.16
2010-06-21,143.8805,0.07,11.19
2010-06-22,144.126,0.06,10.93
2010-06-23,144.032,0.06,8.32
2010-06-24,143.9778,0.06,8.31
2010-06-25,144.1285,0.06,7.38
2010-06-28,144.2631,0.06,7.36
2010-06-29,144.2729,0.06,7.38
2010-06-30,144.2911,0.06,7.18
2010-07-01,144.0151,0.06,6.64
2010-07-02,143.8671,0.06,5.79
2010-07-06,143.8326,0.06,4.4
2010-07-07,143.7509,0.05,3.96
2010-07-08,143.9288,0.05,2.93
2010-07-09,143.8285,0.05,2.89
2010-07-12,143.8984,0.05,2.89
2010-07-13,143.8517,0.05,2.19
2010-07-14,143.9696,0.05,1.53
2010-07-15,144.0315,0.05,1.52
2010-07-16,143.8377,0.05,1.55
2010-07-19,143.752,0.05,1.57
2010-07-20,143.8202,0.05,1.57
2010-07-21,143.9723,0.05,1.59
2010-07-22,144.1106,0.05,1.54
2010-07-23,144.0106,0.05,1.53
2010-07-26,144.039,0.04,1.53
2010-07-27,144.0789,0.04,1.53
2010-07-28,144.2678,0.04,1.57
2010-07-29,144.4234,0.04,1.44
2010-07-30,144.7365,0.04,1.54
2010-08-02,144.8666,0.04,1.54
2010-08-03,145.2976,0.04,1.69
2010-08-04,145.041,0.04,1.78
2010-08-05,145.2204,0.04,1.79
2010-08-06,145.2486,0.04,1.78
2010-08-09,145.2134,0.04,1.77
2010-08-10,145.5138,0.04,1.85
2010-08-11,145.357,0.04,1.9
2010-08-12,144.9191,0.04,2.04
2010-08-13,144.7985,0.04,2.03
2010-08-16,144.8604,0.04,2.03
2010-08-17,144.7111,0.04,2.05
2010-08-18,144.5921,0.04,2.05
2010-08-19,144.5774,0.04,2.03
2010-08-20,144.4912,0.04,2.04
2010-08-23,144.4075,0.04,2.05
2010-08-24,144.5732,0.04,2.06
2010-08-25,144.4292,0.04,2.09
2010-08-26,144.6159,0.04,2.07
2010-08-27,144.4078,0.04,2.11
2010-08-30,144.5345,0.03,2.12
2010-08-31,144.6268,0.03,2.11
2010-09-01,144.4963,0.03,2.12
2010-09-02,144.424,0.03,2.11
2010-09-03,144.379,0.03,2.11
2010-09-07,144.5838,0.02,2.15
2010-09-08,144.4796,0.02,2.13
2010-09-09,144.3919,0.02,2.12
2010-09-10,144.4526,0.02,2.01
2010-09-13,144.8036,0.03,2.13
2010-09-14,144.8465,0.03,1.92
2010-09-15,144.8696,0.03,1.85
2010-09-16,144.7765,0.02,1.82
2010-09-17,144.7013,0.02,1.82
2010-09-20,144.8028,0.02,1.83
2010-09-21,145.3716,0.03,2.1
2010-09-22,145.4572,0.02,2.08
2010-09-23,145.2955,0.03,1.9
2010-09-24,145.2966,0.02,1.87
2010-09-27,145.3707,0.02,1.88
2010-09-28,145.7002,0.03,1.95
2010-09-29,145.5854,0.03,1.94
2010-09-30,145.5187,0.03,1.95
2010-10-01,145.7464,0.0,1.98
2010-10-04,146.019,0.0,2.01
2010-10-05,146.3931,0.0,2.1
2010-10-06,146.7745,0.0,2.15
2010-10-07,146.7509,0.0,2.15
2010-10-08,147.1149,0.0,2.14
2010-10-12,147.0235,0.0,2.17
2010-10-13,147.4022,0.0,2.25
2010-10-14,147.7027,0.0,2.23
2010-10-15,147.251,0.01,2.49
2010-10-18,147.3573,0.01,2.47
2010-10-19,147.36,0.01,2.46
2010-10-20,147.291,0.0,2.45
2010-10-21,147.2754,0.0,2.43
2010-10-22,147.3614,0.0,2.43
2010-10-25,147.5339,0.0,2.38
2010-10-26,147.2786,0.01,2.48
2010-10-27,146.899,0.01,2.65
2010-10-28,146.9996,0.01,2.63
2010-10-29,146.947,0.01,2.62
2010-11-01,147.0961,0.0,2.63
2010-11-02,147.0391,0.0,2.42
2010-11-03,147.2343,0.0,2.44
2010-11-04,147.637,0.01,2.48
2010-11-05,147.6177,0.01,2.49
2010-11-08,147.5618,0.01,2.5
2010-11-09,147.2668,0.01,2.55
2010-11-10,147.3326,0.01,2.53
2010-11-12,146.8775,0.01,2.73
2010-11-15,146.3553,0.01,2.93
2010-11-16,146.111,0.01,2.93
2010-11-17,146.298,0.01,2.85
2010-11-18,146.3128,0.01,2.73
2010-11-19,146.2726,0.01,2.73
2010-11-22,146.5007,0.01,2.67
2010-11-23,146.5492,0.01,2.67
2010-11-24,146.3096,0.01,2.57
2010-11-26,146.4125,0.01,2.49
2010-11-29,146.464,0.01,2.34
2010-11-30,146.3322,0.01,2.33
2010-12-01,146.084,0.01,2.37
2010-12-02,146.0645,0.01,2.37
2010-12-03,146.2106,0.01,2.4
2010-12-06,146.5212,0.01,2.5
2010-12-07,146.0619,0.01,2.61
2010-12-08,145.7138,0.01,2.65
2010-12-09,145.6386,0.01,2.56
2010-12-10,145.5562,0.01,2.54
2010-12-13,145.7589,0.01,2.59
2010-12-14,145.4001,0.01,2.64
2010-12-15,145.7153,0.01,2.75
2010-12-16,145.9123,0.01,2.75
2010-12-17,146.2678,0.01,2.72
2010-12-20,146.3214,0.01,2.73
2010-12-21,146.4064,0.01,2.74
2010-12-22,146.4981,0.01,2.7
2010-12-23,146.3468,0.01,2.7
2010-12-27,146.3702,0.01,2.56
2010-12-28,146.1736,0.01,2.36
2010-12-29,146.5154,0.01,2.41
2010-12-30,146.4093,0.01,2.39
2010-12-31,146.5954,0.01,2.42
2011-01-03,146.6867,0.01,2.42
2011-01-04,146.8357,0.01,2.4
2011-01-05,146.7161,0.01,2.41
2011-01-06,147.0717,0.01,2.45
2011-01-07,147.3445,0.01,2.5
2011-01-10,147.5767,0.01,2.53
2011-01-11,147.7381,0.01,2.52
2011-01-12,147.8616,0.01,2.44
2011-01-13,147.866,0.01,2.44
2011-01-14,147.754,0.01,2.46
2011-01-18,147.8605,0.01,2.4
2011-01-19,147.8551,0.01,2.15
2011-01-20,147.3365,0.01,2.31
2011-01-21,147.4147,0.01,2.29
2011-01-24,147.4866,0.01,2.27
2011-01-25,147.5862,0.01,2.25
2011-01-26,147.5246,0.01,2.09
2011-01-27,147.5589,0.01,2.02
2011-01-28,147.8451,0.01,2.05
2011-01-31,148.0315,0.01,1.98
2011-02-01,147.95,0.01,2.0
2011-02-02,147.6459,0.01,2.13
2011-02-03,147.4722,0.01,2.17
2011-02-04,147.2173,0.01,2.22
2011-02-07,147.1786,0.01,2.22
2011-02-08,146.8806,0.01,2.27
2011-02-09,146.9536,0.01,2.17
2011-02-10,146.6209,0.01,2.28
2011-02-11,146.5896,0.01,2.24
2011-02-14,146.7368,0.01,2.26
2011-02-15,146.8202,0.01,2.24
2011-02-16,146.849,0.01,2.23
2011-02-17,147.2224,0.01,2.24
2011-02-18,147.6611,0.01,2.35
2011-02-22,148.3664,0.0,2.7
2011-02-23,148.6997,0.0,2.76
2011-02-24,148.8834,0.0,2.77
2011-02-25,148.859,0.0,2.77
2011-02-28,148.7653,0.0,2.77
2011-03-01,149.0922,-0.01,2.83
2011-03-02,149.1823,-0.01,2.83
2011-03-03,148.8518,-0.01,2.69
2011-03-04,149.2898,-0.01,2.8
2011-03-07,149.4379,-0.01,2.8
2011-03-08,149.5235,-0.01,2.8
2011-03-09,149.6139,-0.01,2.79
2011-03-10,149.8592,-0.01,2.81
2011-03-11,149.7545,-0.01,2.8
2011-03-14,149.9509,-0.01,2.8
2011-03-15,149.9015,-0.01,2.79
2011-03-16,150.3064,-0.01,2.76
2011-03-17,150.6001,-0.01,2.73
2011-03-18,150.5246,-0.01,2.65
2011-03-21,150.405,-0.01,2.68
2011-03-22,150.2303,-0.01,2.6
2011-03-23,150.1939,-0.01,2.62
2011-03-24,150.0998,-0.01,2.49
2011-03-25,149.7125,-0.01,2.67
2011-03-28,149.7321,-0.01,2.68
2011-03-29,149.6348,-0.01,2.71
2011-03-30,149.7663,-0.01,2.7
2011-03-31,149.9324,-0.01,2.65
2011-04-01,149.9851,-0.01,2.54
2011-04-04,150.3146,-0.01,2.25
2011-04-05,150.237,-0.01,2.19
2011-04-06,150.1058,-0.01,2.21
2011-04-07,150.3352,-0.01,2.23
2011-04-08,150.4364,-0.01,2.21
2011-04-11,150.489,-0.01,2.14
2011-04-12,150.6711,-0.01,2.16
2011-04-13,150.6977,-0.01,2.01
2011-04-14,150.6339,-0.01,1.86
2011-04-15,150.8286,-0.01,1.87
2011-04-18,151.0584,-0.01,1.91
2011-04-19,151.2654,-0.01,1.93
2011-04-20,151.0963,-0.01,1.94
2011-04-21,150.9441,-0.02,1.96
2011-04-25,151.2401,-0.02,2.0
2011-04-26,151.4534,-0.01,2.02
2011-04-27,151.5469,-0.01,1.88
2011-04-28,151.8981,-0.01,1.92
2011-04-29,152.0809,-0.01,1.92
2011-05-02,152.1763,-0.02,1.89
2011-05-03,152.1616,-0.02,1.83
2011-05-04,152.1245,-0.02,1.83
2011-05-05,151.7964,-0.01,1.96
2011-05-06,151.622,-0.01,1.8
2011-05-09,151.9234,-0.01,1.86
2011-05-10,151.8909,-0.01,1.84
2011-05-11,151.5979,-0.01,1.97
2011-05-12,151.4148,-0.01,2.02
2011-05-13,151.2552,-0.01,2.06
2011-05-16,151.323,-0.01,1.98
2011-05-17,151.3175,-0.01,1.97
2011-05-18,151.4802,-0.01,1.95
2011-05-19,151.3614,-0.01,1.94
2011-05-20,151.3632,-0.01,1.94
2011-05-23,151.3889,-0.01,1.94
2011-05-24,151.5598,-0.01,1.93
2011-05-25,151.734,-0.01,1.95
2011-05-26,151.9397,-0.01,1.97
2011-05-27,151.8138,-0.01,1.97
2011-05-31,152.0116,-0.01,1.96
2011-06-01,152.2023,-0.01,1.95
2011-06-02,152.116,-0.01,1.92
2011-06-03,152.2054,-0.01,1.89
2011-06-06,152.3142,-0.01,1.82
2011-06-07,152.4165,-0.01,1.79
2011-06-08,152.5857,-0.01,1.81
2011-06-09,152.4526,-0.01,1.72
2011-06-10,152.3119,-0.01,1.71
2011-06-13,152.3438,-0.01,1.7
2011-06-14,152.2577,-0.01,1.71
2011-06-15,152.68,-0.01,1.9
2011-06-16,152.5614,-0.01,1.78
2011-06-17,152.3928,-0.01,1.78
2011-06-20,152.3006,-0.01,1.7
2011-06-21,152.3186,-0.01,1.7
2011-06-22,152.2885,-0.01,1.58
2011-06-23,152.2199,-0.01,1.54
2011-06-24,152.2559,-0.01,1.49
2011-06-27,152.2329,-0.01,1.49
2011-06-28,151.9982,-0.01,1.58
