Date,US_CPI_DAILY_INTERP
1945-01-31,17.8
1945-02-01,17.8
1945-02-02,17.8
1945-02-05,17.8
1945-02-06,17.8
1945-02-07,17.8
1945-02-08,17.8
1945-02-09,17.8
1945-02-12,17.8
1945-02-13,17.8
1945-02-14,17.8
1945-02-15,17.8
1945-02-16,17.8
1945-02-19,17.8
1945-02-20,17.8
1945-02-21,17.8
1945-02-22,17.8
1945-02-23,17.8
1945-02-26,17.8
1945-02-27,17.8
1945-02-28,17.8
1945-03-01,17.8
1945-03-02,17.8
1945-03-05,17.8
1945-03-06,17.8
1945-03-07,17.8
1945-03-08,17.8
1945-03-09,17.8
1945-03-12,17.8
1945-03-13,17.8
1945-03-14,17.8
1945-03-15,17.8
1945-03-16,17.8
1945-03-19,17.8
1945-03-20,17.8
1945-03-21,17.8
1945-03-22,17.8
1945-03-23,17.8
1945-03-26,17.8
1945-03-27,17.8
1945-03-28,17.8
1945-03-29,17.8
1945-03-30,17.8
1945-04-02,17.8
1945-04-03,17.8
1945-04-04,17.8
1945-04-05,17.8
1945-04-06,17.8
1945-04-09,17.8
1945-04-10,17.8
1945-04-11,17.8
1945-04-12,17.8
1945-04-13,17.8
1945-04-16,17.8
1945-04-17,17.8
1945-04-18,17.8
1945-04-19,17.8
1945-04-20,17.8
1945-04-23,17.8
1945-04-24,17.8
1945-04-25,17.8
1945-04-26,17.8
1945-04-27,17.8
1945-04-30,17.8
1945-05-01,17.803225806451614
1945-05-02,17.806451612903228
1945-05-03,17.809677419354838
1945-05-04,17.81290322580645
1945-05-07,17.822580645161292
1945-05-08,17.825806451612902
1945-05-09,17.829032258064515
1945-05-10,17.83225806451613
1945-05-11,17.835483870967742
1945-05-14,17.84516129032258
1945-05-15,17.848387096774193
1945-05-16,17.851612903225806
1945-05-17,17.85483870967742
1945-05-18,17.858064516129033
1945-05-21,17.86774193548387
1945-05-22,17.870967741935484
1945-05-23,17.874193548387098
1945-05-24,17.877419354838707
1945-05-25,17.88064516129032
1945-05-28,17.89032258064516
1945-05-29,17.89354838709677
1945-05-30,17.896774193548385
1945-05-31,17.9
1945-06-01,17.906896551724138
1945-06-04,17.92758620689655
1945-06-05,17.93448275862069
1945-06-06,17.94137931034483
1945-06-07,17.948275862068964
1945-06-08,17.955172413793104
1945-06-11,17.975862068965515
1945-06-12,17.982758620689655
1945-06-13,17.989655172413794
1945-06-14,17.99655172413793
1945-06-15,18.00344827586207
1945-06-18,18.024137931034485
1945-06-19,18.03103448275862
1945-06-20,18.03793103448276
1945-06-21,18.044827586206896
1945-06-22,18.051724137931036
1945-06-25,18.07241379310345
1945-06-26,18.079310344827586
1945-06-27,18.086206896551726
1945-06-28,18.093103448275862
1945-06-29,18.1
1945-07-02,18.1
1945-07-03,18.1
1945-07-04,18.1
1945-07-05,18.1
1945-07-06,18.1
1945-07-09,18.1
1945-07-10,18.1
1945-07-11,18.1
1945-07-12,18.1
1945-07-13,18.1
1945-07-16,18.1
1945-07-17,18.1
1945-07-18,18.1
1945-07-19,18.1
1945-07-20,18.1
1945-07-23,18.1
1945-07-24,18.1
1945-07-25,18.1
1945-07-26,18.1
1945-07-27,18.1
1945-07-30,18.1
1945-07-31,18.1
1945-08-01,18.1
1945-08-02,18.1
1945-08-03,18.1
1945-08-06,18.1
1945-08-07,18.1
1945-08-08,18.1
1945-08-09,18.1
1945-08-10,18.1
1945-08-13,18.1
1945-08-14,18.1
1945-08-15,18.1
1945-08-16,18.1
1945-08-17,18.1
1945-08-20,18.1
1945-08-21,18.1
1945-08-22,18.1
1945-08-23,18.1
1945-08-24,18.1
1945-08-27,18.1
1945-08-28,18.1
1945-08-29,18.1
1945-08-30,18.1
1945-08-31,18.1
1945-09-03,18.1
1945-09-04,18.1
1945-09-05,18.1
1945-09-06,18.1
1945-09-07,18.1
1945-09-10,18.1
1945-09-11,18.1
1945-09-12,18.1
1945-09-13,18.1
1945-09-14,18.1
1945-09-17,18.1
1945-09-18,18.1
1945-09-19,18.1
1945-09-20,18.1
1945-09-21,18.1
1945-09-24,18.1
1945-09-25,18.1
1945-09-26,18.1
1945-09-27,18.1
1945-09-28,18.1
1945-10-01,18.1
1945-10-02,18.1
1945-10-03,18.1
1945-10-04,18.1
1945-10-05,18.1
1945-10-08,18.1
1945-10-09,18.1
1945-10-10,18.1
1945-10-11,18.1
1945-10-12,18.1
1945-10-15,18.1
1945-10-16,18.1
1945-10-17,18.1
