Date,Total Return Index,Beta Raw,Volatility 30D
1994-01-31,3.29,,
1994-02-01,3.29,,
1994-02-02,3.29,,
1994-02-03,3.29,,
1994-02-04,3.29,,
1994-02-07,3.29,,
1994-02-08,3.29,,
1994-02-09,3.29,,
1994-02-10,3.29,,
1994-02-11,3.29,,
1994-02-14,3.29,,
1994-02-15,3.29,,
1994-02-16,3.29,,
1994-02-17,3.29,,
1994-02-18,3.29,,
1994-02-21,3.29,,
1994-02-22,3.29,,
1994-02-23,3.29,,
1994-02-24,3.29,,
1994-02-25,3.29,,
1994-02-28,3.0,,
1994-03-01,3.0,,
1994-03-02,3.0,,
1994-03-03,3.0,,
1994-03-04,3.0,,
1994-03-07,3.0,,
1994-03-08,3.0,,
1994-03-09,3.0,,
1994-03-10,3.0,,
1994-03-11,3.0,,
1994-03-14,3.0,,
1994-03-15,3.0,,
1994-03-16,3.0,,
1994-03-17,3.0,,
1994-03-18,3.0,,
1994-03-21,3.0,,
1994-03-22,3.0,,
1994-03-23,3.0,,
1994-03-24,3.0,,
1994-03-25,3.0,,
1994-03-28,3.0,,
1994-03-29,3.0,,
1994-03-30,3.0,,
1994-03-31,3.45,,
1994-04-01,3.45,,
1994-04-04,3.45,,
1994-04-05,3.45,,
1994-04-06,3.45,,
1994-04-07,3.45,,
1994-04-08,3.45,,
1994-04-11,3.45,,
1994-04-12,3.45,,
1994-04-13,3.45,,
1994-04-14,3.45,,
1994-04-15,3.45,,
1994-04-18,3.45,,
1994-04-19,3.45,,
1994-04-20,3.45,,
1994-04-21,3.45,,
1994-04-22,3.45,,
1994-04-25,3.45,,
1994-04-26,3.45,,
1994-04-27,3.45,,
1994-04-28,3.45,,
1994-04-29,3.38,,
1994-05-02,3.38,,
1994-05-03,3.38,,
1994-05-04,3.38,,
1994-05-05,3.38,,
1994-05-06,3.38,,
1994-05-09,3.38,,
1994-05-10,3.38,,
1994-05-11,3.38,,
1994-05-12,3.38,,
1994-05-13,3.38,,
1994-05-16,3.38,,
1994-05-17,3.38,,
1994-05-18,3.38,,
1994-05-19,3.38,,
1994-05-20,3.38,,
1994-05-23,3.38,,
1994-05-24,3.38,,
