Date,TRDPRC_1,OPEN_PRC,HIGH_1,LOW_1,ACVOL_UNS
1988-01-04,256.015,256.015,256.015,256.015,
1988-01-05,258.77,258.77,258.77,258.77,
1988-01-06,259.03,259.03,259.03,259.03,
1988-01-07,261.211,261.211,261.211,261.211,
1988-01-08,243.545,243.545,243.545,243.545,
1988-01-11,247.666,247.666,247.666,247.666,
1988-01-12,245.6,245.6,245.6,245.6,
1988-01-13,246.022,246.022,246.022,246.022,
1988-01-14,246.092,246.092,246.092,246.092,
1988-01-15,252.285,252.285,252.285,252.285,
1988-01-18,252.115,252.115,252.115,252.115,
1988-01-19,249.566,249.566,249.566,249.566,
1988-01-20,242.869,242.869,242.869,242.869,
1988-01-21,243.38,243.38,243.38,243.38,
1988-01-22,246.748,246.748,246.748,246.748,
1988-01-25,252.504,252.504,252.504,252.504,
1988-01-26,249.946,249.946,249.946,249.946,
1988-01-27,249.757,249.757,249.757,249.757,
1988-01-28,253.673,253.673,253.673,253.673,
1988-01-29,257.473,257.473,257.473,257.473,
1988-02-01,255.507,255.507,255.507,255.507,
1988-02-02,256.145,256.145,256.145,256.145,
1988-02-03,252.789,252.789,252.789,252.789,
1988-02-04,252.965,252.965,252.965,252.965,
1988-02-05,251.914,251.914,251.914,251.914,
1988-02-08,250.103,250.103,250.103,250.103,
1988-02-09,252.768,252.768,252.768,252.768,
1988-02-10,257.756,257.756,257.756,257.756,
1988-02-11,257.056,257.056,257.056,257.056,
1988-02-12,258.87,258.87,258.87,258.87,
1988-02-16,261.143,261.143,261.143,261.143,
1988-02-17,260.535,260.535,260.535,260.535,
1988-02-18,259.233,259.233,259.233,259.233,
1988-02-19,262.963,262.963,262.963,262.963,
1988-02-22,267.075,267.075,267.075,267.075,
1988-02-23,266.479,266.479,266.479,266.479,
1988-02-24,265.959,265.959,265.959,265.959,
1988-02-25,263.097,263.097,263.097,263.097,
1988-02-26,263.993,263.993,263.993,263.993,
1988-02-29,269.475,269.475,269.475,269.475,
1988-03-01,269.437,269.437,269.437,269.437,
1988-03-02,269.752,269.752,269.752,269.752,
1988-03-03,269.653,269.653,269.653,269.653,
1988-03-04,269.098,269.098,269.098,269.098,
1988-03-07,269.223,269.223,269.223,269.223,
1988-03-08,271.336,271.336,271.336,271.336,
1988-03-09,271.03,271.03,271.03,271.03,
1988-03-10,265.784,265.784,265.784,265.784,
1988-03-11,266.895,266.895,266.895,266.895,
1988-03-14,268.356,268.356,268.356,268.356,
1988-03-15,268.131,268.131,268.131,268.131,
1988-03-16,270.872,270.872,270.872,270.872,
1988-03-17,273.273,273.273,273.273,273.273,
1988-03-18,273.18,273.18,273.18,273.18,
1988-03-21,270.794,270.794,270.794,270.794,
1988-03-22,270.897,270.897,270.897,270.897,
1988-03-23,270.977,270.977,270.977,270.977,
1988-03-24,265.375,265.375,265.375,265.375,
1988-03-25,260.719,260.719,260.719,260.719,
1988-03-28,260.276,260.276,260.276,260.276,
1988-03-29,262.3320244,262.3320244,262.3320244,262.3320244,
1988-03-30,260.3156376,260.3156376,260.3156376,260.3156376,
1988-03-31,261.15,261.15,261.15,261.15,
1988-04-04,258.411,258.411,258.411,258.411,
1988-04-05,260.892,260.892,260.892,260.892,
1988-04-06,267.937,267.937,267.937,267.937,
1988-04-07,268.613,268.613,268.613,268.613,
1988-04-08,271.915,271.915,271.915,271.915,
1988-04-11,272.679,272.679,272.679,272.679,
1988-04-12,273.901,273.901,273.901,273.901,
1988-04-13,274.105,274.105,274.105,274.105,
1988-04-14,262.208,262.208,262.208,262.208,
1988-04-15,262.228,262.228,262.228,262.228,
